Country,Code,ContinentCode,Year,Inflation: percent change in the Consumer Price Index,Exchange rate: local currency units per U.S. dollar,Unemployment rate,Terms of trade base year = 2000,Exports of goods and services as percent of GDP,Exports of goods and services billion USD,Exports of goods and services annual growth,Imports of goods and services as percent of GDP,Imports of goods and services billion USD,Trade balance as percent of GDP,Trade balance billion USD,Value added in the agricultural sector as percent of GDP,Agriculture value added billion USD,Value added by industry as percent of GDP,Value added by the manufacturing sector as percent of GDP,Value added in the services sector as percent of GDP,Industry value added billion USD,Manufacturing value added billion USD,Services value added billion USD,Economic growth: the rate of change of real GDP,Gross Domestic Product billions of U.S. dollars,GDP per capita current U.S. hundred dollars
Laos,LAO,AS,2006,6.5,10153.62,1.14,100.98,38.16,1.32,14.38,43.81,1.51,-5.65,0.01,26.73,0.92,26.18,9.46,38.14,0.9,0.33,1.32,8.62,3.45,590.63
Laos,LAO,AS,2007,4.7,9602.73,0.97,98.59,33.61,1.42,8.14,45.6,1.93,-11.98,0.09,25.79,1.09,25.39,10.06,41.67,1.07,0.42,1.76,7.6,4.22,710.34
Laos,LAO,AS,2008,7.6,8740.18,0.84,94.21,33.15,1.8,13.58,48.7,2.65,-15.54,-0.02,24.18,1.32,26.95,10.08,44.11,1.47,0.55,2.4,7.82,5.44,900.32
Laos,LAO,AS,2009,0.1,8511.35,0.8,94.23,30.08,1.75,5.6,46.85,2.73,-16.76,-0.15,24.21,1.41,25.16,11.68,45.7,1.47,0.68,2.67,7.5,5.83,948.65
Laos,LAO,AS,2010,6,8254.16,0.71,110.35,35.38,2.52,15.71,49.34,3.52,-13.95,-0.07,22.6,1.61,30.47,11.09,43.57,2.17,0.79,3.11,8.53,7.13,1140.6
Laos,LAO,AS,2011,7.6,8029.26,0.71,110.6,40.34,3.53,22.42,51.36,4.49,-11.01,-0.35,20.79,1.82,30.82,10.67,41.77,2.7,0.93,3.65,8.04,8.75,1378.36
Laos,LAO,AS,2012,4.3,8006.58,0.71,102.2,37.88,3.86,6.71,60.31,6.15,-22.43,-0.95,18.55,1.89,32.44,8.98,40.15,3.31,0.92,4.09,8.03,10.19,1581.4
Laos,LAO,AS,2013,6.4,7833.23,0.72,98.84,38.17,4.56,19.36,60.01,7.17,-21.83,-1.06,17.93,2.14,30.43,8.44,42.49,3.63,1.01,5.07,8.03,11.94,1825.67
Laos,LAO,AS,2014,4.1,8042.42,0.7,98.47,40.75,5.41,7.03,58.31,7.74,-17.55,-2.09,17.85,2.37,28.82,8.43,44.16,3.82,1.12,5.86,7.61,13.27,1998.34
Laos,LAO,AS,2015,1.3,8127.61,0.69,96.06,33.95,4.89,6.65,51.85,7.46,-17.89,-2.26,17.59,2.53,27.69,8.19,44.17,3.99,1.18,6.36,7.27,14.39,2134.71
Laos,LAO,AS,2016,1.6,8124.37,0.68,96.35,33.21,5.25,10.46,41.88,6.62,-8.67,-1.32,17.23,2.72,28.76,7.77,42.48,4.55,1.23,6.71,7.02,15.81,2308.8
Laos,LAO,AS,2017,0.8,8244.84,0.66,102.84,,,,,,,-1.13,16.2,2.73,30.91,7.48,41.53,5.21,1.26,7,6.89,16.85,2423.85
Laos,LAO,AS,2018,2,8401.33,0.64,99.81,,,,,,,-1.1,15.71,2.82,31.53,7.45,41.61,5.66,1.34,,6.25,17.95,2542.49
Laos,LAO,AS,2019,3.3,8679.41,0.63,,,,,,,,,15.29,2.78,30.91,7.48,42.65,5.62,1.36,,4.65,18.17,2534.9
Malaysia,MYS,AS,1990,2.6,2.7,,102.73,74.47,32.78,17.82,72.42,31.88,2.04,0.9,15.22,6.7,42.2,24.22,44.19,18.58,10.66,19.46,9.01,44.02,2441.74
Malaysia,MYS,AS,1991,4.4,2.75,3.66,109.17,77.83,38.25,15.77,81.49,40.04,-3.66,-1.8,14.36,7.05,42.11,25.55,44.82,20.69,12.56,22.03,9.55,49.14,2653.53
Malaysia,MYS,AS,1992,4.8,2.55,3.71,109.09,75.98,44.96,12.6,74.63,44.16,1.36,0.8,14.57,8.62,41.15,25.82,45.66,24.35,15.28,27.02,8.89,59.17,3113.65
Malaysia,MYS,AS,1993,3.5,2.57,4.11,108.57,78.92,52.79,11.54,79.02,52.86,-0.1,-0.07,13.79,9.22,40.08,25.93,47.97,26.81,17.34,32.09,9.89,66.89,3433.16
Malaysia,MYS,AS,1994,3.7,2.62,3.62,110.19,89.15,66.4,21.91,90.75,67.59,-1.6,-1.15,13.66,10.17,40.04,26.64,47.94,29.82,19.84,35.71,9.21,74.48,3728.11
Malaysia,MYS,AS,1995,3.5,2.5,3.15,108.55,94.09,83.46,18.96,98.02,86.95,-3.93,-3.48,12.95,11.49,41.4,26.38,47.88,36.73,23.4,42.47,9.83,88.71,4329.71
Malaysia,MYS,AS,1996,3.5,2.52,2.52,112.07,91.58,92.36,9.23,90.19,90.96,1.39,1.41,11.68,11.78,43.53,27.84,47.9,43.9,28.08,48.31,10,100.86,4798.61
Malaysia,MYS,AS,1997,2.7,2.81,2.45,111.21,93.29,93.29,5.49,92.38,92.38,0.91,0.94,11.1,11.1,44.57,28.38,48.24,44.58,28.38,48.25,7.32,100.01,4637.87
Malaysia,MYS,AS,1998,5.3,3.92,3.2,107,115.74,83.53,0.49,93.75,67.66,22,15.9,13.31,9.61,43.88,28.78,48.97,31.66,20.77,35.34,-7.36,72.17,3263.33
Malaysia,MYS,AS,1999,2.7,3.8,3.43,105.1,121.31,96.02,13.16,96.26,76.19,25.05,19.83,10.84,8.58,46.46,30.94,47.88,36.77,24.49,37.9,6.14,79.15,3492.67
Malaysia,MYS,AS,2000,1.5,3.8,3,100,119.81,112.37,16.07,100.6,94.35,19.21,18.02,8.6,8.06,48.32,30.86,46.3,45.32,28.95,43.43,8.86,93.79,4043.66
Malaysia,MYS,AS,2001,1.4,3.8,3.53,99.86,110.4,102.44,-6.83,92.96,86.25,17.44,16.18,8.01,7.43,46.2,29.34,49.17,42.87,27.22,45.62,0.52,92.78,3913.43
Malaysia,MYS,AS,2002,1.8,3.8,3.48,100.01,108.31,109.22,5.43,91.05,91.82,17.25,16.57,8.99,9.06,45.12,29.25,48.7,45.5,29.49,49.11,5.39,100.85,4165.73
Malaysia,MYS,AS,2003,1.1,3.8,3.61,101.45,106.94,117.85,5.13,87.25,96.15,19.69,21.76,9.31,10.26,46.58,29.93,46.71,51.33,32.98,51.48,5.79,110.2,4461.85
Malaysia,MYS,AS,2004,1.4,3.8,3.54,101.1,115.37,143.93,16.06,95,118.51,20.37,25.41,9.27,11.57,48.53,30.38,44.55,60.54,37.9,55.57,6.78,124.75,4952.21
Malaysia,MYS,AS,2005,3,3.79,3.53,102.21,112.9,162.05,8.3,90.96,130.55,21.94,30.78,8.26,11.86,46.37,27.55,44.2,66.55,39.54,63.44,5.33,143.53,5587.03
Malaysia,MYS,AS,2006,3.6,3.67,3.32,101.72,112.19,182.52,6.68,90.39,147.06,21.79,35.47,8.61,14.01,46.52,27.57,43.93,75.68,44.85,71.46,5.58,162.69,6209.12
Malaysia,MYS,AS,2007,2,3.44,3.23,101.81,106.17,205.49,4.43,86.3,167.03,19.87,38.52,9.99,19.33,44.6,26.12,44.52,86.31,50.56,86.17,6.3,193.55,7243.46
Malaysia,MYS,AS,2008,5.4,3.34,3.34,109.03,99.5,229.66,1.57,77.17,178.12,22.33,51.31,9.97,23.01,45.11,24.56,43.95,104.11,56.69,101.44,4.83,230.81,8474.59
Malaysia,MYS,AS,2009,0.6,3.52,3.69,95.66,91.42,184.9,-10.88,71.14,143.89,20.27,41.55,9.22,18.65,40.97,23.8,48.84,82.86,48.14,98.77,-1.51,202.26,7292.49
Malaysia,MYS,AS,2010,1.6,3.22,3.25,97.44,86.93,221.69,10.42,71.01,181.1,15.92,40.43,10.09,25.73,40.5,23.43,48.48,103.28,59.76,123.63,7.42,255.02,9040.57
Malaysia,MYS,AS,2011,3.2,3.06,3.05,102.81,85.26,254.02,4.18,69.68,207.62,15.57,46.44,11.45,34.13,39.82,23.32,47.77,118.66,69.48,142.32,5.29,297.95,10399.37
Malaysia,MYS,AS,2012,1.7,3.09,3.04,102.46,79.3,249.35,-1.74,68.54,215.53,10.76,33.88,9.79,30.8,40.14,23.14,49.02,126.2,72.76,154.15,5.47,314.44,10817.44
Malaysia,MYS,AS,2013,2.1,3.15,3.11,100.37,75.63,244.49,0.26,67.09,216.89,8.54,27.54,9.11,29.46,39.89,22.84,49.94,128.94,73.84,161.46,4.69,323.28,10970.12
Malaysia,MYS,AS,2014,3.1,3.27,2.88,100.55,73.79,249.47,5.04,64.52,218.11,9.27,31.34,8.87,30,39.92,22.87,50.12,134.97,77.33,169.45,6.01,338.06,11319.08
Malaysia,MYS,AS,2015,2.1,3.91,3.1,97.15,69.45,209.29,0.25,61.92,186.6,7.53,22.71,8.29,24.97,38.45,22.29,52.01,115.87,67.18,151.69,5.09,301.35,9955.24
Malaysia,MYS,AS,2016,2.1,4.15,3.44,93.93,66.78,201.16,1.32,60.12,181.13,6.65,19.99,8.46,25.49,37.68,21.8,52.53,113.52,65.66,153.2,4.45,301.26,9817.74
Malaysia,MYS,AS,2017,3.9,4.3,3.41,94.95,70.05,223.42,8.68,63.17,201.5,6.87,21.99,8.61,27.47,38.13,21.86,51.85,121.62,69.71,160.28,5.74,318.96,10254.23
Malaysia,MYS,AS,2018,0.9,4.04,3.35,94.6,68.76,246.55,2.23,61.75,221.41,7.01,25.13,7.54,27.03,38.3,21.56,52.96,137.33,77.32,,4.74,358.58,11373.23
Malaysia,MYS,AS,2019,0.7,4.14,3.32,,65.34,238.3,-1.14,57.75,210.62,7.59,,7.28,26.54,37.42,21.46,54.17,136.48,78.28,,4.33,364.7,11414.84
New Zealand,NZL,OC,1990,6.1,1.68,,,26.76,12.18,9.31,25.85,11.76,0.92,,5.99,2.72,26.54,17.79,60.34,12.07,8.09,27.45,0.15,45.5,13663.02
New Zealand,NZL,OC,1991,2.6,1.73,10.61,,29.16,12.47,9.24,25.47,10.89,3.69,,6.89,2.94,25.99,17.86,60.07,11.11,7.64,25.68,-1.09,42.75,12230.07
New Zealand,NZL,OC,1992,1,1.86,10.67,,31.19,12.99,4.59,28.04,11.68,3.15,,6.72,2.8,25.96,17.91,60.25,10.81,7.46,25.09,1.09,41.65,11793.14
New Zealand,NZL,OC,1993,1.3,1.85,9.8,,30.6,14.31,7.15,26.95,12.61,3.65,,7.33,3.43,25.97,17.94,59.65,12.15,8.39,27.9,6.39,46.78,13094.35
New Zealand,NZL,OC,1994,1.7,1.69,8.35,,30.78,17.02,8.5,28.04,15.51,2.74,,6.51,3.6,26.54,18.45,59.57,14.68,10.21,32.95,5.12,55.31,15280.31
New Zealand,NZL,OC,1995,3.8,1.52,6.46,,29.39,18.79,3.78,27.52,17.59,1.87,,6.45,4.12,25.72,17.7,60.43,16.44,11.31,38.63,4.72,63.92,17400.42
New Zealand,NZL,OC,1996,2.3,1.45,6.29,,28.35,19.88,4.2,26.77,18.77,1.58,,6.44,4.52,25.06,16.66,61.04,17.58,11.69,42.82,3.62,70.14,18794.44
New Zealand,NZL,OC,1997,1.2,1.51,6.86,,28.32,18.71,3.41,26.93,17.79,1.39,,6.08,4.02,24.81,16.32,61.78,16.39,10.78,40.82,2.05,66.08,17474.19
New Zealand,NZL,OC,1998,1.3,1.87,7.72,,29.62,16.65,3.42,28.28,15.9,1.34,,5.95,3.34,23.81,15.78,63.27,13.39,8.88,35.57,0.8,56.23,14738.45
New Zealand,NZL,OC,1999,-0.1,1.89,7.02,,30.95,18.19,8.3,30.45,17.89,0.5,,6.28,3.69,24.06,15.56,62.7,14.14,9.14,36.85,5.45,58.76,15322.22
New Zealand,NZL,OC,2000,2.6,2.2,6.13,100,35.75,18.81,6.06,32.77,17.25,2.97,1.25,7.75,4.08,23.59,15.5,61.81,12.41,8.16,32.53,2.91,52.62,13641.1
New Zealand,NZL,OC,2001,2.6,2.38,5.43,106.54,35.43,19.09,3.29,31.8,17.13,3.63,2.25,7.98,4.3,23.11,15.19,62.12,12.45,8.18,33.47,3.46,53.87,13882.86
New Zealand,NZL,OC,2002,2.7,2.16,5.28,101.88,32.85,21.89,7.53,29.81,19.86,3.04,1.66,5.85,3.9,23.86,15.55,63.21,15.9,10.36,42.11,4.67,66.63,16874.19
New Zealand,NZL,OC,2003,1.8,1.72,4.75,102.99,29.84,26.33,2.68,28.08,24.78,1.76,1.64,5.73,5.06,23.26,14.72,63.9,20.53,12.99,56.4,4.55,88.25,21913.71
New Zealand,NZL,OC,2004,2.3,1.51,4.01,109.13,29.54,30.7,3.17,29.26,30.4,0.29,0.62,5.37,5.58,23.55,14.56,63.89,24.47,15.12,66.39,4.03,103.91,25420.23
New Zealand,NZL,OC,2005,3,1.42,3.81,110.05,28.29,32.45,-0.44,29.73,34.11,-1.45,-1.28,4.52,5.18,23.94,14.53,64.31,27.47,16.66,73.77,3.32,114.72,27751.07
New Zealand,NZL,OC,2006,3.4,1.54,3.86,109.47,29.59,33.03,3.47,29.98,33.46,-0.39,-0.76,4.98,5.56,22.98,13.3,64.35,25.65,14.85,71.82,2.85,111.61,26671.33
New Zealand,NZL,OC,2007,2.4,1.36,3.66,116,29.25,40.16,3.92,29.12,39.99,0.12,-0.26,6.06,8.33,22.95,12.31,63.43,31.51,16.91,87.1,3.07,137.32,32511.13
New Zealand,NZL,OC,2008,4,1.42,4.17,124.56,32.04,42.71,-2.69,32.29,43.04,-0.25,-0.8,5.01,6.67,23.21,12.4,64.36,30.94,16.52,85.78,-1.03,133.29,31290.25
New Zealand,NZL,OC,2009,2.1,1.6,6.12,111.58,28.74,34.88,4.04,26.42,32.06,2.32,2.44,5.75,6.98,21.42,10.77,65.5,26,13.07,79.49,-0.15,121.36,28205.73
New Zealand,NZL,OC,2010,2.3,1.39,6.56,123.5,30.25,44.36,2.82,27.96,40.99,2.29,3.32,6.58,9.65,21.19,10.84,64.37,31.07,15.89,94.38,1.56,146.62,33700.13
New Zealand,NZL,OC,2011,4,1.27,6.49,129.09,30.36,51.15,2.29,28.81,48.54,1.55,3.3,6.28,10.58,21.01,10.93,64.33,35.4,18.42,108.35,2.36,168.51,38437.54
New Zealand,NZL,OC,2012,1.1,1.23,6.93,120.39,28.85,50.85,3.04,28.16,49.63,0.7,0.79,5.52,9.72,20.97,10.61,65.02,36.96,18.69,114.54,2.24,176.25,39982.75
New Zealand,NZL,OC,2013,1.1,1.22,6.26,131.15,28.82,55.01,0.14,27.21,51.93,1.61,1.91,7.04,13.43,20.34,10.24,64.33,38.82,19.54,122.72,2.63,190.85,42962.99
New Zealand,NZL,OC,2014,1.2,1.21,5.75,138.52,28.02,56.3,4.65,27.16,54.56,0.86,2.37,4.79,9.62,21.44,11.07,65.4,43.09,22.25,131.42,3.63,200.92,44553.28
New Zealand,NZL,OC,2015,0.3,1.43,5.36,132.9,27.92,49.54,6.24,26.88,47.71,1.03,1.9,4.49,7.96,21.24,11.29,65.8,37.69,20.03,116.53,3.62,177.47,38616
New Zealand,NZL,OC,2016,0.6,1.44,5.1,133.3,26.54,49.96,1.56,25.67,48.32,0.87,1.8,5.57,10.48,20.16,10.09,65.55,37.95,19,,3.68,188.22,40105.61
New Zealand,NZL,OC,2017,1.9,1.41,4.7,145.44,27.48,56.45,3.55,26.37,54.16,1.12,2.42,5.81,11.94,20.43,10.24,65.18,41.97,21.04,,3.16,205.42,42849.43
New Zealand,NZL,OC,2018,1.6,1.45,4.3,144.65,27.98,58.18,2.83,27.96,58.14,0.02,0.07,,,,,,,,,3.76,207.92,42949.93
New Zealand,NZL,OC,2019,1.6,1.52,4.07,,,,,,,,0.31,,,,,,,,,2.17,206.93,42084.35
Philippines,PHL,AS,1990,12.2,24.31,,87.37,27.52,12.19,1.86,33.28,14.75,-5.77,-2.54,21.9,9.71,34.47,24.83,43.62,15.28,11,19.33,3.04,44.31,715.91
Philippines,PHL,AS,1991,19.3,27.48,3.53,93.41,29.6,13.44,6.27,32.59,14.8,-2.99,-1.36,20.98,9.53,34.01,25.32,45,15.45,11.5,20.44,-0.58,45.42,715.75
Philippines,PHL,AS,1992,8.7,25.51,3.57,79.21,29.13,15.43,4.28,34.03,18.03,-4.9,-2.26,21.82,11.56,32.84,24.18,45.34,17.4,12.81,24.02,0.34,52.98,814.77
Philippines,PHL,AS,1993,6.7,27.12,3.65,77.67,31.36,17.05,6.22,39.81,21.64,-8.45,-4.64,21.6,11.75,32.68,23.71,45.71,17.77,12.89,24.85,2.12,54.37,816.41
Philippines,PHL,AS,1994,10.4,26.42,3.67,77.88,33.83,21.68,19.79,40.13,25.72,-6.31,-5.74,22,14.1,32.53,23.26,45.47,20.85,14.91,29.14,4.39,64.08,939.92
Philippines,PHL,AS,1995,6.8,25.71,3.67,80.2,36.36,26.95,12.04,44.18,32.75,-7.82,-6.52,21.63,16.03,32.06,22.99,46.31,23.76,17.04,34.33,4.68,74.12,1062.13
Philippines,PHL,AS,1996,7.5,26.22,3.69,81.13,40.51,33.56,15.4,49.29,40.84,-8.79,-7.82,20.62,17.08,32.09,22.81,47.3,26.58,18.9,39.18,5.85,82.85,1160.31
Philippines,PHL,AS,1997,5.6,29.47,3.68,82.41,48.96,40.31,17.15,59.29,48.83,-10.34,-10.11,18.87,15.54,32.13,22.26,48.99,26.46,18.33,40.34,5.19,82.34,1127.53
Philippines,PHL,AS,1998,9.2,40.89,3.67,87.39,44.76,32.32,-21.03,53.9,38.92,-9.13,-2.66,14.76,10.66,34.39,23.46,50.85,24.83,16.94,36.72,-0.58,72.21,966.99
Philippines,PHL,AS,1999,5.9,39.09,3.71,102.88,45.49,37.75,10.17,49.42,41.02,-3.93,-7.6,15.21,12.62,33.06,23.47,51.73,27.43,19.48,42.94,3.08,83,1087.38
Philippines,PHL,AS,2000,4,44.19,3.7,100,43.34,36.27,13.72,41.81,34.98,1.54,-7.84,13.94,11.66,34.98,25.28,51.08,29.26,21.15,41.79,4.41,83.67,1072.81
Philippines,PHL,AS,2001,5.3,50.99,3.7,98.65,41.16,32.48,-2.17,43.74,34.52,-2.59,-8.55,13.3,10.5,34.9,25.31,51.8,27.54,19.98,39.88,3.05,78.92,990.56
Philippines,PHL,AS,2002,2.7,51.6,3.63,91.99,40.01,33.73,4.85,43.84,36.96,-3.83,-7.53,13.45,11.34,34.78,25.14,51.77,29.32,21.19,42.53,3.72,84.31,1036.16
Philippines,PHL,AS,2003,2.3,54.2,3.53,95.11,42.31,36.82,9.23,45.27,39.4,-2.96,-7.81,13.15,11.45,34.54,24.84,52.31,30.06,21.62,44.25,5.09,87.04,1048.01
Philippines,PHL,AS,2004,4.8,56.04,3.55,92.02,41.83,39.74,6.54,45.3,43.03,-3.47,-7.46,13.98,13.29,33.62,24.01,52.4,31.94,22.81,48.37,6.57,95,1121.49
Philippines,PHL,AS,2005,6.5,55.09,3.8,92.3,41.23,44.29,12.5,42.62,45.78,-1.39,-10,13.52,14.52,33.81,24.27,52.67,36.32,26.07,55.14,4.94,107.42,1244.35
Philippines,PHL,AS,2006,5.5,51.31,4.05,90.59,41.25,52.65,10.06,39.61,50.56,1.64,-6.98,13.36,17.06,33.46,23.83,53.18,42.72,30.42,66.16,5.32,127.65,1452.44
Philippines,PHL,AS,2007,2.9,46.15,3.43,88.51,38.01,59.29,2.86,35.63,55.58,2.38,-8.01,13.61,21.22,33,23.15,53.39,51.47,36.11,81.33,6.52,155.98,1744.64
Philippines,PHL,AS,2008,8.3,44.32,3.72,77.84,33.36,60.38,-4.3,34.32,62.13,-0.97,-16.68,14.52,26.28,32.77,23.27,52.72,59.31,42.12,93.85,4.34,181.01,1991.23
Philippines,PHL,AS,2009,4.2,47.68,3.86,83.2,30.22,53.23,-4.71,30.67,54.01,-0.45,-8.96,14.54,25.61,31.52,21.74,53.94,55.52,38.29,92.94,1.45,176.13,1905.89
Philippines,PHL,AS,2010,3.8,45.11,3.61,81.17,32.87,68.5,20.31,33.23,69.24,-0.35,-11.09,13.75,28.65,32.34,21.92,53.91,67.39,45.67,110.01,7.33,208.37,2217.47
Philippines,PHL,AS,2011,4.7,43.31,3.59,75.11,29.11,68.17,-0.78,31.69,74.22,-2.58,-13.87,14.1,33.01,31.34,21.7,54.57,73.4,50.84,125.37,3.86,234.22,2450.73
Philippines,PHL,AS,2012,3,42.23,3.5,74.96,27.47,71.94,4.51,30.37,79.56,-2.91,-12.75,13.1,34.3,31.4,21.33,55.5,82.24,55.86,142.35,6.9,261.92,2694.31
Philippines,PHL,AS,2013,2.6,42.45,3.5,73.52,26.18,74.32,1.97,29.65,84.17,-3.47,-10.65,12.47,35.41,30.78,20.43,56.75,87.37,58.01,156.66,6.75,283.9,2871.43
Philippines,PHL,AS,2014,3.6,44.4,3.6,76.75,27.35,81.38,12.14,30.11,89.58,-2.76,-12.75,12.27,36.51,31.05,20.58,56.68,92.36,61.21,163.17,6.35,297.48,2959.65
Philippines,PHL,AS,2015,0.7,45.5,3.07,82.17,27.21,83.38,9.97,31.93,97.86,-4.73,-17.85,11,33.7,30.48,19.93,58.52,93.41,61.07,172.28,6.35,306.45,3001.04
Philippines,PHL,AS,2016,1.3,47.49,2.71,84.2,26.67,84.99,9.21,35.1,111.85,-8.43,-28.51,10.21,32.52,30.29,19.59,59.51,96.5,62.42,181.71,7.15,318.63,3073.65
Philippines,PHL,AS,2017,2.9,50.4,2.55,82.72,29.55,97.07,17.4,38.62,126.85,-9.06,-31.52,10.18,33.45,30.13,19.5,59.69,98.96,64.05,187.81,6.93,328.48,3123.23
Philippines,PHL,AS,2018,5.2,52.66,2.34,79.78,30.21,104.79,11.82,41.95,145.5,-11.74,-39.36,9.65,33.47,30.56,19.1,59.79,106.01,66.24,,6.34,346.84,3252.09
Philippines,PHL,AS,2019,2.5,51.8,2.15,,28.34,106.78,2.38,40.27,151.72,-11.93,-36.42,8.82,33.25,30.17,18.46,61.01,113.66,69.57,,6.04,376.8,3485.08
Singapore,SGP,AS,1990,3.5,1.81,,116.16,177.19,64.05,13.08,167.14,60.41,10.05,2.54,0.32,0.12,30.86,24.4,64.18,11.15,8.82,23.21,9.82,36.14,11861.76
Singapore,SGP,AS,1991,3.4,1.73,2.18,112.87,168.55,76.63,8.59,155.34,70.63,13.2,4.59,0.25,0.11,32.62,25.46,62.82,14.83,11.58,28.58,6.69,45.47,14502.38
Singapore,SGP,AS,1992,2.3,1.63,3.09,109.71,161.73,84.31,7.24,149.59,77.98,12.14,4.84,0.2,0.1,32.29,24.35,62.46,16.83,12.69,32.59,6.64,52.13,16135.91
Singapore,SGP,AS,1993,2.3,1.62,3.07,109.8,161.65,97.97,16.98,151.77,91.98,9.88,4.55,0.17,0.1,32.14,24.47,62.01,19.48,14.83,37.62,11.46,60.6,18290.03
Singapore,SGP,AS,1994,3.1,1.53,3.03,105.61,166.19,122.47,18.49,150.02,110.55,16.17,10.5,0.17,0.13,31.3,23.62,61.83,23.07,17.41,45.63,11.1,73.69,21553.03
Singapore,SGP,AS,1995,1.7,1.42,3.3,104.35,181.12,159.04,21.09,164.34,144.31,16.78,14.74,0.14,0.13,31.49,23.99,61.62,27.65,21.06,54.17,7.2,87.81,24914.41
Singapore,SGP,AS,1996,1.4,1.41,3.57,104.39,175.64,169.14,9.35,159.27,153.37,16.38,15.77,0.15,0.14,31.55,23.17,62.08,30.39,22.31,59.87,7.47,96.3,26233.63
Singapore,SGP,AS,1997,2,1.48,2.5,104.67,169.3,169.51,10.23,154.57,154.76,14.73,14.75,0.13,0.13,31.07,22.15,62.63,31.11,22.18,62.76,8.32,100.12,26375.97
Singapore,SGP,AS,1998,-0.3,1.67,3.41,104.3,166.79,142.98,-4.42,145.29,124.56,21.5,18.43,0.11,0.1,32.09,22.69,62.72,27.51,19.45,53.79,-2.2,85.73,21829.3
Singapore,SGP,AS,1999,0,1.69,4.85,103.23,176.75,152.5,8.02,159.74,137.83,17.01,14.67,0.11,0.1,30.85,22.85,63.07,26.62,19.72,54.43,5.72,86.28,21796.08
Singapore,SGP,AS,2000,1.4,1.72,3.7,100,188.35,180.96,14.33,176.01,169.1,12.34,11.85,0.09,0.09,32.46,25.86,60.66,31.18,24.85,58.11,9.04,96.07,23852.33
Singapore,SGP,AS,2001,1,1.79,3.76,96.06,182.89,164.23,-3.64,166.4,149.42,16.5,14.81,0.08,0.07,30.38,23.39,63.59,27.28,21.01,56.78,-1.07,89.79,21700.02
Singapore,SGP,AS,2002,-0.4,1.79,5.65,94.52,184.09,170.35,7.38,165.66,153.3,18.43,17.05,0.07,0.07,30.75,24.74,63.98,28.45,22.89,58.9,3.91,92.54,22159.69
Singapore,SGP,AS,2003,0.5,1.74,5.93,90.85,202.59,197.82,13.87,174.63,170.52,27.95,27.3,0.06,0.06,30.22,24.77,64.35,29.51,24.18,62.56,4.54,97.65,23730.15
Singapore,SGP,AS,2004,1.7,1.69,5.84,90.76,213.95,246.12,19.4,187.57,215.77,26.38,30.35,0.06,0.06,31.89,27.12,63.07,36.68,31.2,72.3,9.82,115.04,27608.54
Singapore,SGP,AS,2005,0.4,1.66,5.59,89.42,225.16,287.77,12.78,195.27,249.57,29.89,38.2,0.06,0.07,31.41,27.08,64.07,40.14,34.61,82.25,7.36,127.81,29961.26
Singapore,SGP,AS,2006,1,1.59,4.48,88.26,228.04,338.93,10.95,197.33,293.29,30.71,45.65,0.05,0.07,30.89,26.58,64.88,45.92,39.5,96.61,9.01,148.63,33769.15
Singapore,SGP,AS,2007,2.1,1.51,3.9,87.34,212.78,385.01,8.54,181.51,328.43,31.27,56.58,0.04,0.08,28.23,23.82,66.04,51.07,43.11,119.81,9.02,180.94,39432.94
Singapore,SGP,AS,2008,6.6,1.41,3.96,86.9,228.99,443.36,5.26,208.33,403.36,20.66,40,0.04,0.08,26.42,20.59,68.35,51.14,39.86,132.31,1.87,193.61,40007.47
Singapore,SGP,AS,2009,0.6,1.45,5.86,87.64,190.84,370.53,-7.2,167.35,324.91,23.5,45.62,0.04,0.08,27.02,20.27,68.01,52.45,39.36,131.8,0.12,194.15,38927.21
Singapore,SGP,AS,2010,2.8,1.36,4.12,87.13,198,474.82,17.79,171.69,411.72,26.31,63.1,0.04,0.09,26.64,20.77,67.84,63.88,49.82,161.49,14.53,239.81,47236.96
Singapore,SGP,AS,2011,5.2,1.26,3.89,84.77,203.33,568,7.69,175.77,491.02,27.56,76.98,0.03,0.1,25.26,19.58,69.02,70.57,54.7,191.73,6.34,279.35,53890.43
Singapore,SGP,AS,2012,4.6,1.25,3.72,83.9,196.72,580.49,1.4,172.49,509.01,24.23,71.49,0.03,0.1,25.02,19.12,69.21,73.84,56.41,202.03,4.46,295.09,55546.49
Singapore,SGP,AS,2013,2.4,1.25,3.86,85.46,195.08,600.01,6.14,171.96,528.92,23.11,71.09,0.03,0.11,23.45,17.64,70.76,72.11,54.25,216.14,4.84,307.58,56967.43
Singapore,SGP,AS,2014,1,1.27,3.74,85.86,191.95,604.37,3.62,168.51,530.57,23.44,73.8,0.03,0.11,24.17,18,70.34,76.1,56.67,219.43,3.94,314.85,57562.53
Singapore,SGP,AS,2015,-0.5,1.37,3.79,90.71,178.38,549.43,4.97,151.09,465.35,27.3,84.08,0.03,0.1,24.29,18.09,69.95,74.81,55.72,212.62,2.99,308,55646.62
Singapore,SGP,AS,2016,-0.5,1.38,4.08,89.48,165.09,526.08,-0.01,138.86,442.47,26.24,83.61,0.03,0.1,23.29,17.55,70.65,74.23,55.93,216.99,3.24,318.65,56828.3
Singapore,SGP,AS,2017,0.6,1.38,4.2,87.37,170.71,583.58,6.24,145.31,496.75,25.4,86.83,0.03,0.1,23.35,18.43,70.51,79.83,63.01,228.15,4.34,341.86,60913.75
