Section,Section ID,Trade Value,Year,Country
"""Footwear and Headwear""",12,64409155161,2018,
"""Stone And Glass""",13,44476952718,2018,
"""Precious Metals""",14,17164258129,2018,
"""Metals""",15,1.95E+11,2018,
"""Machines""",16,1.34E+12,2018,
"""Transportation""",17,93456865840,2018,
"""Instruments""",18,81693520194,2018,
"""Weapons""",19,371576997,2018,
"""Miscellaneous""",20,1.84E+11,2018,
"""Arts and Antiques""",21,526361584.9,2018,
,,,,
"""Machines""",,4570,,Hong Kong
"""Machines""",,3930,,Singapore
"""Machines""",,1640,,Japan
"""Machines""",,1440,,Philippines
"""Machines""",,1270,,Malaysia
"""Textiles""",,7770,,Hong Kong
"""Textiles""",,2640,,United States
"""Textiles""",,620,,United Kingdom
"""Textiles""",,420,,India
"""Textiles""",,319,,France
"""Metals""",,2270,,Hong Kong
"""Metals""",,2230,,United States
"""Metals""",,1500,,Japan
"""Metals""",,1100,,South Korea
"""Metals""",,690,,Germany
"""Miscellaneous""",,2870,,Vietnam
"""Miscellaneous""",,2470,,Japan
"""Miscellaneous""",,1630,,United States
"""Miscellaneous""",,1200,,South Korea
"""Miscellaneous""",,1070,,Thailand
